"","COMMODITY.YEAR.ID","STATE.CODE","STATE.ABBREVIATION","COUNTY.CODE","COUNTY.NAME","COMMODITY.CODE","COMMODITY.NAME","INSURANCE.PLAN.CODE","INSURACE.PLAN.NAME.ABBREVIATION","COVERAGE.CATEGORY","STAGE.CODE","CAUSE.OF.LOSS.CODE","CAUSE.OF.LOSS.DESCRIPTION.x","MONTH.OF.LOSS","MONTH.OF.LOSS.NAME","YEAR.OF.LOSS","POLICIES.EARNING.PERMIUM","POLICIES.INDEMNIFIED","NET.PLANTED.ACRES","NET.ENDORSED.ACRES","LIABILITY","TOTAL.PREMIUM","PRODUCER.PAID.PREMIUM","SUBSIDY","STATE_PRIVATE.SUBSIDY","ADDITIONAL.SUBSIDY","NET.DETERMINED.ACRES","INDEMNITY.AMOUNT","LOSS.RATIO","CAUSE.OF.LOSS.DESCRIPTION.y"
"10184",1990,37,"NC",95,"Hyde                          ",9999,"All Other Crops               ",90,NA,NA,"0H","11","",7,"JUL",NA,4,4,2263.9,0,313695,35049,29043,6006,0,0,2263.9,87492,2.5,"Drought"
"10185",1990,37,"NC",95,"Hyde                          ",9999,"All Other Crops               ",90,NA,NA,"0H","11","",9,"SEP",NA,1,1,84.4,0,10598,716,506,210,0,0,84.4,1017,1.42,"Drought"
"10186",1990,37,"NC",95,"Hyde                          ",9999,"All Other Crops               ",84,NA,NA,"0H","11","",1,"JAN",NA,1,1,132,0,58330.8,4987.2,3517.2,1470,0,0,132,11391.6,2.28,"Drought"
"10187",1990,37,"NC",95,"Hyde                          ",9999,"All Other Crops               ",90,NA,NA,"0R","31","",9,"SEP",NA,1,1,49.5,0,3407.5,294.5,205.5,89,0,0,99,799,2.71,"Excess Moisture/Precipitation/Rain                                                                  "
"10188",1990,37,"NC",95,"Hyde                          ",9999,"All Other Crops               ",90,NA,NA,"0R","31","",9,"SEP",NA,1,1,49.5,0,3407.5,294.5,205.5,89,0,0,99,799,2.71,"Excess Moisture/Precipitation/Rain"
"10189",1990,37,"NC",95,"Hyde                          ",9999,"All Other Crops               ",90,NA,NA,"UH","31","",11,"NOV",NA,1,1,56.03,0,4628,267,188,79,0,0,56.028,4524,16.94,"Excess Moisture/Precipitation/Rain                                                                  "
"10190",1990,37,"NC",95,"Hyde                          ",9999,"All Other Crops               ",90,NA,NA,"UH","31","",11,"NOV",NA,1,1,56.03,0,4628,267,188,79,0,0,56.028,4524,16.94,"Excess Moisture/Precipitation/Rain"
"10191",1990,37,"NC",95,"Hyde                          ",9999,"All Other Crops               ",84,NA,NA,"0H","31","",1,"JAN",NA,1,1,88,0,38887.2,3324.8,2344.8,980,0,0,88,7594.4,2.28,"Excess Moisture/Precipitation/Rain                                                                  "
"10192",1990,37,"NC",95,"Hyde                          ",9999,"All Other Crops               ",84,NA,NA,"0H","31","",1,"JAN",NA,1,1,88,0,38887.2,3324.8,2344.8,980,0,0,88,7594.4,2.28,"Excess Moisture/Precipitation/Rain"
"10193",1990,37,"NC",95,"Hyde                          ",9999,"All Other Crops               ",90,NA,NA,"0H","31","",1,"JAN",NA,1,1,169.57,0,14436,831,584.5,246.5,0,0,83.4218,-1016,-1.22,"Excess Moisture/Precipitation/Rain                                                                  "
